format,count
Kindle Edition,572535
Paperback,65629
Mass Market Paperback,61504
Hardcover,35434
Audible Audiobook,2471
Audio CD,1145
DVD,1049
Amazon Video,574
MP3 CD,399
Blu-ray,297
Audio Cassette,121
Perfect Paperback,106
Library Binding,99
Leather Bound,90
VHS Tape,69
Comic,60
School & Library Binding,52
Unknown Binding,37
Board book,14
Diary,13
Calendar,11
Kindle Edition with Audio/Video,9
Misc. Supplies,9
CD-ROM,7
Spiral-bound,6
Unbound,5
Preloaded Digital Audio Player,5
Digital,4
UMD for PSP,3
Print on Demand (Paperback),2
Loose Leaf,1
Textbook Binding,1
Cards,1
Pamphlet,1
