category,vals
"[Books, Literature & Fiction, Genre Fiction]",471555
"[Books, Mystery, Thriller & Suspense, Thrillers & Suspense]",154785
"[Books, Teen & Young Adult, Literature & Fiction]",123603
"[Books, Mystery, Thriller & Suspense, Mystery]",99419
"[Books, Literature & Fiction, United States]",96341
"[Books, Literature & Fiction, Contemporary]",93434
"[Books, Literature & Fiction, Action & Adventure]",63144
"[Books, Children's Books, Growing Up & Facts of Life]",62258
"[Books, Science Fiction & Fantasy, Fantasy]",61472
"[Books, Literature & Fiction, Classics]",58588
"[Books, History, Americas]",57766
"[Books, New, Used & Rental Textbooks, Humanities]",44538
"[Books, Politics & Social Sciences, Politics & Government]",43717
"[Books, Literature & Fiction, History & Criticism]",43513
"[Books, Biographies & Memoirs, Leaders & Notable People]",42992
"[Books, Biographies & Memoirs, Arts & Literature]",40727
"[Books, Literature & Fiction, Women's Fiction]",36330
"[Books, Children's Books, Literature & Fiction]",31439
"[Books, Children's Books, Animals]",31435
"[Books, Teen & Young Adult, Science Fiction & Fantasy]",31344
"[Books, Science Fiction & Fantasy, Science Fiction]",27487
"[Books, Humor & Entertainment, Humor]",26681
"[Books, Literature & Fiction, Literary]",26173
"[Books, Self-Help, Relationships]",25901
"[Books, Crafts, Hobbies & Home, Crafts & Hobbies]",21164
"[Books, History, World]",20193
"[Books, Business & Money, Management & Leadership]",20030
"[Books, Literature & Fiction]",18793
"[Books, Biographies & Memoirs, Historical]",17294
"[Books, Reference, Writing, Research & Publishing Guides]",17049
"[Books, Children's Books, Science Fiction & Fantasy]",15687
"[Books, Politics & Social Sciences, Social Sciences]",15614
"[Books, Biographies & Memoirs, Professionals & Academics]",15606
"[Books, Christian Books & Bibles, Bible Study & Reference]",15119
"[Books, Arts & Photography, Music]",14722
"[Books, Christian Books & Bibles, Literature & Fiction]",13879
"[Books, History, Military]",13835
"[Books, Christian Books & Bibles, Christian Living]",13833
"[Books, Romance, Historical]",13657
"[Books, Literature & Fiction, Poetry]",12373
"[Books, Literature & Fiction, Dramas & Plays]",11769
"[Books, Medical Books, Medicine]",11735
"[Books, Health, Fitness & Dieting, Diets & Weight Loss]",11056
"[Books, Science & Math, Mathematics]",10995
"[Books, Education & Teaching, Schools & Teaching]",10400
"[Books, Literature & Fiction, Short Stories & Anthologies]",10268
"[Books, Engineering & Transportation, Engineering]",10229
"[Books, Teen & Young Adult]",10090
"[Books, History, Europe]",10088
"[Books, Business & Money, Business Culture]",9839
"[Books, Health, Fitness & Dieting, Psychology & Counseling]",9633
"[Books, Cookbooks, Food & Wine, Regional & International]",9489
"[Books, Literature & Fiction, World Literature]",8589
"[Books, Biographies & Memoirs, Specific Groups]",8531
"[Books, New, Used & Rental Textbooks, Social Sciences]",8323
"[Books, New, Used & Rental Textbooks, Medicine & Health Sciences]",8240
"[Books, Self-Help]",7596
"[Books, Children's Books, Classics]",7194
"[Books, Business & Money, Economics]",7092
"[Books, Business & Money, Investing]",7050
"[Books, Science & Math, Biological Sciences]",6762
"[Books, Business & Money, Marketing & Sales]",5992
"[Books, Biographies & Memoirs, True Crime]",5904
"[Books, Parenting & Relationships, Family Relationships]",5770
"[Books, Biographies & Memoirs, Ethnic & National]",5507
"[Books, Romance, Contemporary]",5439
"[Books, Religion & Spirituality, New Age & Spirituality]",5426
"[Books, Children's Books, Arts, Music & Photography]",5067
"[Books, Arts & Photography, History & Criticism]",5001
"[Books, Children's Books, Action & Adventure]",4935
"[Books, Literature & Fiction, British & Irish]",4910
"[Books, Biographies & Memoirs]",4820
"[Books, History, Asia]",4703
"[Books, Health, Fitness & Dieting, Alternative Medicine]",4672
"[Books, Children's Books]",4573
"[Books, Business & Money, Job Hunting & Careers]",4567
"[Books, Christian Books & Bibles, Theology]",4413
"[Books, Business & Money, Biography & History]",4401
"[Books, Reference, Words, Language & Grammar]",4337
"[Books, Computers & Technology, Programming]",4253
"[Books, Children's Books, Geography & Cultures]",4240
"[Books, Cookbooks, Food & Wine, Cooking Education & Reference]",4207
"[Books, Lesbian, Gay, Bisexual & Transgender Books, Literature & Fiction]",4193
"[Books, Engineering & Transportation, Transportation]",4091
"[Books, New, Used & Rental Textbooks, Science & Mathematics]",3974
"[Books, Crafts, Hobbies & Home, Pets & Animal Care]",3837
"[Books, Travel, Asia]",3799
"[Books, Literature & Fiction, Humor & Satire]",3787
"[Books, Sports & Outdoors, Biographies]",3741
"[Books, Arts & Photography, Photography & Video]",3735
"[Books, Biographies & Memoirs, Memoirs]",3712
"[Books, Crafts, Hobbies & Home, Home Improvement & Design]",3680
"[Books, Business & Money, Personal Finance]",3639
"[Books, Politics & Social Sciences, Philosophy]",3628
"[Books, Children's Books, Holidays & Celebrations]",3570
"[Books, Mystery, Thriller & Suspense]",3449
"[Books, Health, Fitness & Dieting, Diseases & Physical Ailments]",3391
"[Books, Medical Books, Psychology]",3284
"[Books, Religion & Spirituality, Occult & Paranormal]",3228
"[Books, Business & Money, Industries]",3076
"[Books, Self-Help, Personal Transformation]",3061
"[Books, Self-Help, Motivational]",3043
"[Books, Reference, Foreign Language Study & Reference]",3041
"[Books, Science & Math, Physics]",2879
"[Books, Health, Fitness & Dieting, Mental Health]",2853
"[Books, Children's Books, Science, Nature & How It Works]",2823
"[Books, Religion & Spirituality, Buddhism]",2812
"[Books, Humor & Entertainment, Movies]",2781
"[Books, Arts & Photography, Performing Arts]",2734
"[Books, Christian Books & Bibles, Bibles]",2682
"[Books, New, Used & Rental Textbooks]",2678
"[Books, Teen & Young Adult, Education & Reference]",2653
"[Books, Cookbooks, Food & Wine, Special Diet]",2646
"[Books, Self-Help, Happiness]",2530
"[Books, Cookbooks, Food & Wine, Cooking by Ingredient]",2528
"[Books, Science & Math, Nature & Ecology]",2497
"[Books, Comics & Graphic Novels, Graphic Novels]",2457
"[Books, Science & Math, Astronomy & Space Science]",2422
"[Books, Children's Books, Fairy Tales, Folk Tales & Myths]",2417
"[Books, Children's Books, History]",2417
"[Books, Religion & Spirituality, Religious Studies]",2408
"[Books, Arts & Photography, Graphic Design]",2381
"[Books, Literature & Fiction, Erotica]",2367
"[Books, Humor & Entertainment, Puzzles & Games]",2359
"[Books, Computers & Technology, Computer Science]",2273
"[Books, Health, Fitness & Dieting, Exercise & Fitness]",2192
"[Books, Computers & Technology, Networking & Cloud Computing]",2119
"[Books, Business & Money, Skills]",2110
"[Books, Romance, Paranormal]",2100
"[Books, Literature & Fiction, Essays & Correspondence]",2042
"[Books, New, Used & Rental Textbooks, Business & Finance]",2000
"[Books, History]",1972
"[Books, Children's Books, Activities, Crafts & Games]",1969
"[Books, Business & Money, Finance]",1948
"[Books, Computers & Technology, Programming Languages]",1924
"[Books, Sports & Outdoors, Water Sports]",1907
"[Books, Science & Math, Earth Sciences]",1882
"[Books, Biographies & Memoirs, Regional U.S.]",1853
"[Books, Reference, Dictionaries & Thesauruses]",1790
"[Books, Self-Help, Death & Grief]",1787
"[Books, Literature & Fiction, Mythology & Folk Tales]",1731
"[Books, Children's Books, Education & Reference]",1653
