title,vals,rating
"Listen to Your Pain: The Active Person's Guide to Understanding, Identifying, and Treating Pain and Injury",14,5.0
The Measure of Our Days: A Spiritual Exploration of Illness,10,5.0
Critical Decisions: How You and Your Doctor Can Make the Right Medical Choices Together,9,5.0
Learning the Language of Addiction Counseling,8,5.0
First Aid for the USMLE Step 1: 2008 (First Aid USMLE),6,5.0
"Client-Centered Therapy: Its Current Practice, Implications, and Theory",6,5.0
Practice Management and EHR: A Total Patient Encounter for Medisoft Clinical,4,5.0
"CURRENT Diagnosis and Treatment Pediatrics, Twenty-Third Edition (Lange)",4,5.0
Phlebotomy Simplified (2nd Edition),4,5.0
Medical Language: Immerse Yourself (4th Edition),4,5.0
Cope's Early Diagnosis of the Acute Abdomen,4,5.0
"First Aid for the COMLEX, Second Edition (First Aid Series)",3,5.0
Clinicians Pocket Drug Reference 2014,3,5.0
Infectious Diseases A Clinical Short Course 3/E (In Thirty Days Series),3,5.0
Strategic Applications of Named Reactions in Organic Synthesis,3,5.0
Childbirth Without Fear: The Original Approach to Natural Childbirth,2,5.0
"The Ghost in the House: Motherhood, Raising Children, and Struggling with Depression",2,5.0
"Neonatology : Management, Procedures, On-Call Problems, Diseases, Drugs (LANGE Clinical Science)",2,5.0
First Aid QAndA for the USMLE Step 1 (First Aid Series),2,5.0
"Vander's Renal Physiology, 7th Edition (LANGE Physiology Series)",2,5.0
Review of Medical Microbiology and Immunology (Lange Medical Books),2,5.0
The Psychology of Humor: An Integrative Approach,2,5.0
Cognitive Psychology: Mind and Brain,2,5.0
Criminal Behavior: A Psychosocial Approach (8th Edition),2,5.0
Dao of Chinese Medicine: Understanding an Ancient Healing Art,2,5.0
Race and Slavery in the Middle East: An Historical Enquiry,2,5.0
Mayo Clinic Cardiology: Concise Textbook (Mayo Clinic Scientific Press),2,5.0
Oxford Handbook of Clinical Medicine (Check info AND delete this occurrence: |c OXHMED |t Oxford Handbooks Series),2,5.0
The Oxford Textbook of Clinical Research Ethics,2,5.0
The Essential Guide to Prescription Drugs 2006: Everything You Need To Know For Safe Drug Use,1,5.0
The Rational Clinical Examination: Evidence-Based Clinical Diagnosis (Jama &amp; Archives Journals),1,5.0
Laboratory  Medicine: The Diagnosis of Disease in the Clinical Laboratory (LANGE Basic Science),1,5.0
"First Aid for the Medicine Clerkship, Third Edition (First Aid Series)",1,5.0
Clinical Neurology 8/E,1,5.0
The Ultimate Guide to Finding the Right Job After Residency,1,5.0
Resident Readiness Internal Medicine,1,5.0
Schaum's Outline of College Chemistry,1,5.0
"Pathology, 2nd edition (Deja Review)",1,5.0
Medical Terminology Demystified,1,5.0
Digital Evidence and Computer Crime,1,5.0
The Psychology of Stalking: Clinical and Forensic Perspectives,1,5.0
The Chemistry of Everything,1,5.0
Behavior Disorders of Childhood (6th Edition),1,5.0
Structure of the Human Brain: A Photographic Atlas,1,5.0
Atlas of the First World War: The Complete History,1,5.0
Oxford Handbook of Tropical Medicine (Oxford Handbooks Series),1,5.0
Pocket Guide to Crisis Intervention (Pocket Guide To... (Oxford)),1,5.0
A Brief History of the Mind: From Apes to Intellect and Beyond,1,5.0
Free Radicals in Biology and Medicine,1,5.0
Introduction to Forensic Anthropology,1,5.0
The Synaptic Organization of the Brain,1,5.0
Going Broke: Why Americans Can't Hold On To Their Money,1,5.0
Medical Neurobiology,1,5.0
Lyme Disease: The Ecology of a Complex System,1,5.0
"First Aid for the Psychiatry Clerkship, Fourth Edition (First Aid Series)",22,4.954545454545454
Borrowed Time: An AIDS Memoir,40,4.925
SUCCESS! in Clinical Laboratory Science (4th Edition),13,4.923076923076923
Real World Drug Discovery: A Chemist's Guide to Biotech and Pharmaceutical Research,11,4.909090909090909
Neonatology 7th Edition (Neonatology (Gomella)),11,4.909090909090909
Sometimes Brilliant: The Impossible Adventure of a Spiritual Seeker and Visionary Physician Who Helped Conquer the Worst Disease in History,32,4.90625
"The Eldercare Handbook: Difficult Choices, Compassionate Solutions",10,4.9
Ether Day: The Strange Tale of America's Greatest Medical Discovery and The Haunted Men Who Made It,9,4.888888888888889
"Radiography PREP Program Review and Exam Preparation, Seventh Edition",9,4.888888888888889
Reclaiming Your Life from a Traumatic Experience: A Prolonged Exposure Treatment Program (Treatments That Work),9,4.888888888888889
Finding Life in the Land of Alzheimer's: One Daughter's Hopeful Story,32,4.875
EKG Plain and Simple (3rd Edition),8,4.875
Twilight Children: The True Story of Three Voices No One Heard - Until Someone Listened,38,4.868421052631579
Touching: The Human Significance of the Skin,15,4.866666666666666
"First Aid for the Basic Sciences: Organ Systems, Second Edition (First Aid Series)",15,4.866666666666666
Human Osteology,21,4.857142857142857
Dijiste Que Me Querias: Como Sobrellevar lo Impensable (Spanish Edition),7,4.857142857142857
Personality And Personal Growth,7,4.857142857142857
"Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life",34,4.852941176470588
"Fitzpatrick's Color Atlas and Synopsis of Clinical Dermatology, Seventh Edition (Color Atlas &amp; Synopsis of Clinical Dermatology (Fitzpatrick))",33,4.848484848484849
"Riddled with Life: Friendly Worms, Ladybug Sex, and the Parasites That Make Us Who We Are",6,4.833333333333333
The Human Bone Manual,23,4.826086956521739
"Harrisons Manual of Medicine, 18th Edition",21,4.809523809523809
Singular Intimacies: Becoming a Doctor at Bellevue,30,4.8
Nester's Microbiology: A Human Perspective,5,4.8
"Case Files Obstetrics and Gynecology, Fifth Edition",5,4.8
Chemistry of Hazardous Materials (4th Edition),5,4.8
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",702,4.7920227920227925
The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients,171,4.783625730994152
Rhythms of the Brain,9,4.777777777777778
Celiac Disease: A Hidden Epidemic,73,4.767123287671233
Organic Chemistry,17,4.764705882352941
One Child,89,4.752808988764045
"Medical Terminology for Health Care Professionals (8th Edition) (Rice, Medical Terminology)",8,4.75
"The Tao of Fertility: A Healing Chinese Medicine Program to Prepare Body, Mind, and Spirit for New Life",4,4.75
USMLE Road Map: Neuroscience (LANGE Basic Science),4,4.75
Principles of Behavior (5th Edition),4,4.75
Beginning Behavioral Research: A Conceptual Primer,4,4.75
Medical Language (3rd Edition) - Standalone book,19,4.7368421052631575
McGraw-Hill Education Complete Medical Spanish: Practical Medical Spanish for Quick and Confident Communication,7,4.714285714285714
First Aid for the USMLE Step 1 2010,7,4.714285714285714
The Brain's Way of Healing: Remarkable Discoveries and Recoveries from the Frontiers of Neuroplasticity,252,4.7063492063492065
First Aid for the USMLE Step 1 2014 (First Aid Series),84,4.690476190476191
Principles of Neural Science,44,4.681818181818182
"Morgan and Mikhail's Clinical Anesthesiology, 5th edition",22,4.681818181818182
The Brain That Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,517,4.667311411992263
Student Solutions Manual to accompany Chemistry,9,4.666666666666667
"First Aid for the Obstetrics and Gynecology Clerkship, Third Edition (First Aid Series)",9,4.666666666666667
The New Executive Brain: Frontal Lobes in a Complex World,9,4.666666666666667
On the Take: How Medicine's Complicity with Big Business Can Endanger Your Health,6,4.666666666666667
Complete Medical Spanish : A Practical Course for Quick and Confident Communication,3,4.666666666666667
Applied Mathematics for Physical Chemistry (3rd Edition),3,4.666666666666667
Learning &amp; Behavior (7th Edition),3,4.666666666666667
Understanding EKGs: A Practical Approach (2nd Edition),14,4.642857142857143
Taking Care Of Your Child: A Parents' Guide To Medical Care,14,4.642857142857143
Deadly Companions: How Microbes Shaped Our History,11,4.636363636363637
First Aid for the USMLE Step 1 2000: A Student to Student Guide,245,4.63265306122449
The Water of Life: A Treatise on Urine Therapy,43,4.627906976744186
Killer Germs,24,4.625
Love's Executioner (Perennial Classics),169,4.615384615384615
Walk on Water: The Miracle of Saving Children's Lives,26,4.615384615384615
12-Lead ECG for Acute and Critical Care Providers,15,4.6
"Users' Guides to the Medical Literature: A Manual for Evidence-Based Clinical Practice, Second Edition",5,4.6
Laboratory and Diagnostic Tests: with Nursing Implications,22,4.590909090909091
Laboratory and Diagnostic Tests with Nursing Implications (6th Edition),29,4.586206896551724
Affective Neuroscience: The Foundations of Human and Animal Emotions (Series in Affective Science),12,4.583333333333333
Vaccinated: One Man's Quest to Defeat the World's Deadliest Diseases,43,4.5813953488372094
Phlebotomy Handbook: Blood Collection Essentials (6th Edition),19,4.578947368421052
"Harrisons Manual of Medicine, 19th Edition",7,4.571428571428571
Eat Dirt: Why Leaky Gut May Be the Root Cause of Your Health Problems and 5 Surprising Steps to Cure It,252,4.563492063492063
Thyroid Power: Ten Steps to Total Health,32,4.5625
"First Aid for the USMLE Step 2 CS, Third Edition (First Aid USMLE)",121,4.56198347107438
"The Blue Death: Disease, Disaster, and the Water We Drink",9,4.555555555555555
The Owner's Manual for the Brain (4th Edition): The Ultimate Guide to Peak Mental Performance at All Ages,9,4.555555555555555
USMLE Step 1 (Deja Review),9,4.555555555555555
"Understanding Patient Safety, Second Edition",9,4.555555555555555
Dimensional Analysis for Meds,20,4.55
Polio: An American Story,111,4.54954954954955
The New 8-Week Cholesterol Cure: The Ultimate Program for Preventing Heart Disease,73,4.5479452054794525
Basic Arrhythmias and Resource Central EMS Student Access Code Card Package (7th Edition) (EKG),22,4.545454545454546
Physical Examination &amp; Health Assessment- Text Only,13,4.538461538461538
Mayo Clinic Guide to a Healthy Pregnancy,443,4.523702031602709
The Family Crucible,65,4.523076923076923
Slow Dancing with a Stranger: Lost and Found in the Age of Alzheimer's,125,4.52
Jonas Salk: A Life,27,4.518518518518518
The Thyroid Diet Revolution: Manage Your Master Gland of Metabolism for Lasting Weight Loss,68,4.514705882352941
Comprehensive Review for NCLEX-PN&iuml;&iquest;&frac12;,68,4.514705882352941
Body of Work: Meditations on Mortality from the Human Anatomy Lab,40,4.5
Endometriosis: A Key to Healing Through Nutrition,22,4.5
"Deja Review Pharmacology, Second Edition",14,4.5
Managing Chronic Pain: A Cognitive-Behavioral Therapy Approach Workbook (Treatments That Work),14,4.5
"Odd Girl Speaks Out: Girls Write about Bullies, Cliques, Popularity, and Jealousy",10,4.5
"Deja Review Microbiology &amp; Immunology, Second Edition",8,4.5
Awareness Heals: The Feldenkrais Method For Dynamic Health,8,4.5
The Periodic Table: Its Story and Its Significance,8,4.5
CURRENT Practice Guidelines in Primary Care 2014 (Lange Medical Books),6,4.5
Electronic Health Records,6,4.5
Essential Organic Chemistry,6,4.5
Epidemiology: An Introduction,6,4.5
The Alcoholic Republic: An American Tradition,6,4.5
"First Aid for the Emergency Medicine Clerkship, Third Edition (First Aid Series)",4,4.5
"Embalming: History, Theory, and Practice",4,4.5
Medical Terminology: Language for Healthcare,4,4.5
"Greenspan's Basic and Clinical Endocrinology, Ninth Edition (LANGE Clinical Medicine)",4,4.5
Medical Terminology: Get Connected!,4,4.5
Medical Terminology Complete! (3rd Edition),4,4.5
"Surfing Uncertainty: Prediction, Action, and the Embodied Mind",4,4.5
Pharmacology PreTest Self-Assessment and Review 14/E,2,4.5
Clinical Neuroanatomy,2,4.5
Clinicians Pocket Drug Reference 2015,2,4.5
Handbook of Laboratory and Diagnostic Tests (6th Edition),2,4.5
Fundamentals of Forensic DNA Typing,2,4.5
Learning and Behavior (5th Edition),2,4.5
Development of the Nervous System,2,4.5
Hippocratic Writings (Penguin Classics),2,4.5
The AIDS Generation: Stories of Survival and Resilience,2,4.5
Oxford Handbook of Tropical Medicine (Oxford Medical Handbooks),2,4.5
Microbiology with Diseases by Taxonomy (5th Edition),105,4.495238095238095
"Harrison's Principles of Internal Medicine: Volumes 1 and 2, 18th Edition",59,4.491525423728813
Physiology of Behavior (12th Edition),47,4.48936170212766
"Buried in Treasures: Help for Compulsive Acquiring, Saving, and Hoarding",27,4.481481481481482
The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,271,4.479704797047971
First Aid for the USMLE Step 3 (First Aid for USMLE Step 3),19,4.473684210526316
Bad Pharma: How Drug Companies Mislead Doctors and Harm Patients. by Ben Goldacre,103,4.466019417475728
The Human Brain Coloring Book (Coloring Concepts Series),88,4.465909090909091
"Bad Blood: The Tuskegee Syphilis Experiment, New and Expanded Edition",26,4.461538461538462
Too Scared to Cry: Psychic Trauma in Childhood,13,4.461538461538462
"Heal Pelvic Pain: The Proven Stretching, Strengthening, and Nutrition Program for Relieving Pain, Incontinence,&amp; I.B.S, and Other Symptoms Without Surgery",63,4.4603174603174605
Dosage Calculations: Ratio-Proportion Approach- Text Only,11,4.454545454545454
General Chemistry: The Essential Concepts,11,4.454545454545454
"Dereliction of Duty : Johnson, McNamara, the Joint Chiefs of Staff, and the Lies That Led to Vietnam",461,4.453362255965293
The Light in the Window,29,4.448275862068965
Juju Sundin's Birth Skills: Proven Pain-Management Techniques for Your Labour and Birth,9,4.444444444444445
The Memory Cure : How to Protect Your Brain Against Memory Loss and Alzheimer's Disease,9,4.444444444444445
Quantum Chemistry (6th Edition),9,4.444444444444445
A Mind of Its Own: A Cultural History of the Penis,16,4.4375
Survival of the Sickest: A Medical Maverick Discovers Why We Need Disease,144,4.430555555555555
Teaching Strategies for Nurse Educators,7,4.428571428571429
Pox: An American History (Penguin History of American Life),7,4.428571428571429
